name,address,lat,lon,coordinate_source,outdoor_seating,outdoor_seating_source,category,osm_type,osm_id,osm_name,osm_address,osm_outdoor_seating_raw,google_place_id,google_name,google_address,google_outdoor_seating,google_price_level,google_price_range,google_rating,google_user_rating_count,google_maps_uri,google_match_distance_m,google_match_name_similarity
"""Susets Køkken"" på Hvidovre havn","Hvidovre Strandvej 31H, 2650 Hvidovre",55.6251353,12.4971276,osm,yes,google,restaurant,node,3930752862,Susets Køkken,,,ChIJyf9VGkdUUkYRrmRoR8UPkPQ,"""Susets Køkken"" på Hvidovre havn","Hvidovre Strandvej 31H, 2650 Hvidovre",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",4,408,https://maps.google.com/?cid=17622602681881748654&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.6,0.605
1105,"Kristen Bernikows Gade 4, 1105 København",55.68047,12.582208,osm,yes,google,bar,node,8090448342,Cocktail Bar 1105,,,ChIJVx5KYhdTUkYR-dRWFvTOXQI,1105,"Kristen Bernikows Gade 4, 1105 København",True,PRICE_LEVEL_EXPENSIVE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",4.5,426,https://maps.google.com/?cid=170519908652078329&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,11.5,0.381
1656,"Gasværksvej 33, 1656 København",55.669926,12.558393,osm,yes,osm,bar,node,7833009689,Cocktail Bar 1656,,yes,ChIJhVatfHNTUkYRDymMqZTtqPA,1656,"Gasværksvej 33, 1656 København",,PRICE_LEVEL_EXPENSIVE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",4.6,815,https://maps.google.com/?cid=17341371587945572623&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.7,0.381
20 Grams,"Rosengården 13, 1174 København",55.6822653,12.572321,osm,yes,osm+google,cafe,node,6710880670,20 grams,,yes,ChIJX5tRC51TUkYR6wFplecY5oI,20 Grams,"Rosengården 13, 1174 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}}",4.5,1278,https://maps.google.com/?cid=9432253852497281515&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.7,1.0
22 Kitchen & Bar,"Sortedam Dossering 21, 2200 København",55.689065,12.564651,osm,yes,google,cafe,node,1463845914,Cafe 22,,,ChIJdz1ANwFTUkYRCjxMISEjlSk,22 Kitchen & Bar,"Sortedam Dossering 21, 2200 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",3.9,1202,https://maps.google.com/?cid=2996339752284470282&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.1,0.16
42Raw,"Pilestræde 32, 1112 København",55.6806747,12.5805375,osm,yes,google,cafe,node,1628402614,42 Raw Pilestræde,,,ChIJc6fCUBdTUkYRTCUQ0mnnxYw,42Raw,"Pilestræde 32, 1112 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}}",4.1,1128,https://maps.google.com/?cid=10143768177403766092&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.4,0.455
ARKET CAFÉ,"Møinichen Mansion, Købmagergade 33, 1150 København",55.6804778,12.578049,osm,yes,osm+google,cafe,node,6039131318,Arket cafe,,yes,ChIJt3QtvL5TUkYREyT4ykBRKeY,ARKET CAFÉ,"Møinichen Mansion, Købmagergade 33, 1150 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""1""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}}",4.6,61,https://maps.google.com/?cid=16584876441493578771&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.2,0.947
Aamanns Genbo,"Kildepladsen 6, 1799 København",55.6656322,12.53716,osm,yes,osm+google,cafe,node,10918330245,Aamanns Genbo,,yes,ChIJLRGQcspTUkYR1z5I78g30o8,Aamanns Genbo,"Kildepladsen 6, 1799 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""600""}}",4.5,226,https://maps.google.com/?cid=10363407028680408791&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.0,1.0
Aamanns Replik,"Sankt Annæ Pl. 36, 1252 København",55.6796993,12.5949778,osm,yes,osm+google,restaurant,node,9109551236,Restaurant Replik,,yes,ChIJp6id1E5TUkYR3AXBKUK87ug,Aamanns Replik,"Sankt Annæ Pl. 36, 1252 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""600""}}",4,314,https://maps.google.com/?cid=16784559853610796508&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,10.4,0.645
Abegrotten,"Tinghuset 44A, 1440 København",55.6732684,12.5991873,osm,yes,osm+google,cafe,node,4414786938,Abegrotten,,yes,ChIJI1pRijlTUkYR5Wtt7DXNxew,Abegrotten,"Tinghuset 44A, 1440 København",True,PRICE_LEVEL_INEXPENSIVE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""1""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}}",4.7,191,https://maps.google.com/?cid=17061268394846546917&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.8,1.0
